Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,132.0,2020-10-19,450504.0,45.54
US,104.0,2020-09-21,117586.0,56.15
Brazil,172.0,2020-11-28,79170.0,30.05
Russia,121.0,2020-10-08,9379.0,12.53
Spain,19.0,2020-06-28,27136.0,0.0
United Kingdom,85.0,2020-09-02,41611.0,66.42
Italy,82.0,2020-08-30,34449.0,32.84
India,184.0,2020-12-10,22385.0,49.06
France,62.0,2020-08-10,29359.0,53.95
Germany,64.0,2020-08-12,8859.0,7.06
Peru,108.0,2020-09-25,8495.0,23.02
Turkey,62.0,2020-08-10,4867.0,24.56
Iran,68.0,2020-08-16,9095.0,44.62
Chile,,,,
Mexico,80.0,2020-08-28,25241.0,19.63
Canada,93.0,2020-09-10,8680.0,2.51
Saudi Arabia,76.0,2020-08-24,1750.0,17.41
Pakistan,99.0,2020-09-16,5545.0,5.54
Qatar,25.0,2020-07-04,79.0,31.58
Belgium,56.0,2020-08-04,9678.0,0.0
Bangladesh,29.0,2020-07-08,1309.0,15.97
