Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,126.0,2020-10-14,466135.0,29.53
US,105.0,2020-09-23,118409.0,56.85
Brazil,174.0,2020-12-01,80400.0,30.06
Russia,118.0,2020-10-06,9795.0,4.02
Spain,18.0,2020-06-28,27136.0,0.0
United Kingdom,83.0,2020-09-01,42527.0,28.46
Italy,82.0,2020-08-31,34485.0,31.13
India,218.0,2021-01-14,43502.0,22.62
France,62.0,2020-08-11,29466.0,52.78
Germany,63.0,2020-08-12,8899.0,5.0
Peru,110.0,2020-09-28,8414.0,35.4
Turkey,81.0,2020-08-30,5111.0,8.62
Iran,67.0,2020-08-16,9210.0,44.85
Chile,,,,
Mexico,82.0,2020-08-31,30189.0,37.65
Canada,94.0,2020-09-12,8700.0,1.63
Saudi Arabia,57.0,2020-08-06,1515.0,17.58
Pakistan,101.0,2020-09-19,5748.0,0.69
Qatar,23.0,2020-07-03,85.0,17.65
Belgium,56.0,2020-08-05,9679.0,19.15
Bangladesh,33.0,2020-07-13,1458.0,3.74
