Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,139.0,2020-10-22,8460840.0,9.71
US,377.0,2021-06-17,3252672.0,10.71
Brazil,90.0,2020-09-03,1451376.0,50.82
Russia,135.0,2020-10-18,556215.0,23.9
Spain,93.0,2020-09-06,290103.0,45.76
United Kingdom,150.0,2020-11-02,326363.0,39.98
Italy,100.0,2020-09-13,236193.0,43.57
India,248.0,2021-02-08,772859.0,24.5
France,74.0,2020-08-18,191836.0,48.51
Germany,75.0,2020-08-19,186607.0,45.92
Peru,55.0,2020-07-30,267021.0,87.96
Turkey,152.0,2020-11-04,181872.0,30.24
Iran,129.0,2020-10-12,221541.0,26.49
Chile,101.0,2020-09-14,197382.0,22.74
Mexico,380.0,2021-06-20,633341.0,12.16
Canada,169.0,2020-11-21,110038.0,0.76
Saudi Arabia,114.0,2020-09-27,125817.0,53.04
Pakistan,,,,
Qatar,207.0,2020-12-29,146570.0,28.38
Belgium,79.0,2020-08-23,59399.0,66.7
Bangladesh,143.0,2020-10-26,145969.0,1.22
