Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,145,2020-10-12,6081585,27.4
US,218,2020-12-24,2044380,17.34
Brazil,118,2020-09-15,707585,5.64
Russia,127,2020-09-24,435954,18.81
Spain,91,2020-08-19,284955,15.25
United Kingdom,119,2020-09-16,299296,2.99
Italy,100,2020-08-28,231457,31.86
India,273,2021-02-17,521027,8.79
France,77,2020-08-05,182887,37.81
Germany,102,2020-08-30,183134,30.64
Peru,160,2020-10-27,221403,8.81
Turkey,127,2020-09-24,169982,5.58
Iran,119,2020-09-16,156709,17.02
Chile,68,2020-07-27,94284,34.38
Mexico,171,2020-11-07,167136,1.07
Canada,125,2020-09-22,98334,19.3
Saudi Arabia,96,2020-08-24,103650,7.64
Pakistan,101,2020-08-29,75536,18.84
Qatar,138,2020-10-05,77291,8.2
Belgium,78,2020-08-06,57537,40.68
Bangladesh,258,2021-02-02,183341,6.33
