Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,116,2020-09-13,371640.0,20.97
US,89,2020-08-17,102027.0,32.03
Brazil,65,2020-07-24,34926.0,19.83
Russia,133,2020-09-30,6815.0,25.98
Spain,63,2020-07-22,28171.0,140.0
United Kingdom,82,2020-08-10,38431.0,15.77
Italy,79,2020-08-07,33179.0,26.3
India,45,2020-07-04,4869.0,17.26
France,55,2020-07-14,30011.0,323.63
Germany,63,2020-07-22,8523.0,17.54
Peru,95,2020-08-23,6615.0,7.89
Turkey,63,2020-07-22,4404.0,45.24
Iran,66,2020-07-25,7758.0,15.97
Chile,31,2020-06-20,730.0,51.34
Mexico,195,2020-12-01,26171.0,9.17
Canada,82,2020-08-10,7045.0,30.34
Saudi Arabia,20,2020-06-09,393.0,43.68
Pakistan,92,2020-08-20,2411.0,38.17
Qatar,13,2020-06-02,16.0,93.33
Belgium,39,2020-06-28,9339.0,42.79
Bangladesh,43,2020-07-02,657.0,23.9
