Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,160,2020-12-09,14063866,12.06
US,104,2020-10-14,3271356,32.62
Brazil,374,2021-07-11,4679747,14.87
Russia,358,2021-06-25,942940,7.43
Spain,103,2020-10-13,300693,46.65
United Kingdom,51,2020-08-22,286963,72.97
Italy,100,2020-10-10,241258,79.93
India,383,2021-07-20,4638358,3.79
France,71,2020-09-11,211237,58.72
Germany,350,2021-06-17,221398,9.8
Peru,210,2021-01-28,434165,36.2
Turkey,87,2020-09-27,212617,25.3
Iran,377,2021-07-14,563868,2.01
Chile,50,2020-08-21,295768,52.37
Mexico,366,2021-07-03,656230,0.3
Canada,168,2020-12-17,111594,20.42
Saudi Arabia,199,2021-01-17,305003,5.17
Pakistan,92,2020-10-02,249555,28.96
Qatar,171,2020-12-20,120453,26.74
Belgium,80,2020-09-20,62084,53.02
Bangladesh,254,2021-03-13,326000,21.26
