Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,146,2020-10-12,5915032,31.44
US,116,2020-09-12,1715406,35.15
Brazil,369,2021-05-23,3417876,12.89
Russia,126,2020-09-22,434311,15.54
Spain,53,2020-07-11,283361,25.31
United Kingdom,109,2020-09-05,277793,15.19
Italy,99,2020-08-26,231357,32.69
India,261,2021-02-04,483819,8.29
France,109,2020-09-05,192107,92.55
Germany,96,2020-08-23,183782,14.9
Peru,154,2020-10-20,213353,4.95
Turkey,85,2020-08-12,160159,29.09
Iran,118,2020-09-14,151492,24.97
Chile,58,2020-07-16,80838,40.87
Mexico,148,2020-10-14,134412,10.08
Canada,133,2020-09-29,99472,18.93
Saudi Arabia,88,2020-08-15,96528,0.15
Pakistan,86,2020-08-13,67394,28.13
Qatar,137,2020-10-03,76981,4.44
Belgium,72,2020-07-30,58671,21.08
Bangladesh,38,2020-06-26,36370,26.44
