Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,116,2020-09-12,366791.0,19.89
US,88,2020-08-15,98622.0,45.32
Brazil,156,2020-10-22,51437.0,5.25
Russia,73,2020-07-31,3917.0,45.21
Spain,61,2020-07-19,28185.0,71.59
United Kingdom,82,2020-08-09,38306.0,5.5
Italy,78,2020-08-05,33202.0,23.89
India,40,2020-06-28,4561.0,17.55
France,58,2020-07-16,29581.0,150.38
Germany,66,2020-07-24,8360.0,40.41
Peru,95,2020-08-22,6615.0,7.89
Turkey,61,2020-07-19,4433.0,26.13
Iran,68,2020-07-26,7643.0,26.15
Chile,35,2020-06-23,744.0,52.35
Mexico,90,2020-08-17,12845.0,13.65
Canada,51,2020-07-09,6849.0,40.5
Saudi Arabia,23,2020-06-11,390.0,37.35
Pakistan,54,2020-07-12,1488.0,14.29
Qatar,11,2020-05-30,15.0,92.86
Belgium,56,2020-07-14,9293.0,42.29
Bangladesh,40,2020-06-28,546.0,40.52
