Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,134,2020-09-27,5717735,21.42
US,101,2020-08-25,1694412,16.57
Brazil,322,2021-04-03,2839172,9.82
Russia,120,2020-09-13,416789,10.88
Spain,85,2020-08-09,287228,12.33
United Kingdom,120,2020-09-13,287501,3.81
Italy,97,2020-08-21,231437,18.13
India,179,2020-11-11,233106,28.07
France,56,2020-07-11,182852,18.74
Germany,95,2020-08-19,181064,38.21
Peru,57,2020-07-12,126797,7.42
Turkey,82,2020-08-06,159288,11.84
Iran,116,2020-09-09,143339,29.76
Chile,54,2020-07-09,65964,41.45
Mexico,113,2020-09-06,93253,13.63
Canada,126,2020-09-19,97508,14.54
Saudi Arabia,75,2020-07-30,78789,21.42
Pakistan,77,2020-08-01,77190,11.1
Qatar,64,2020-07-19,54030,7.53
Belgium,80,2020-08-04,57260,25.58
Bangladesh,238,2021-01-09,106287,20.83
