Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,373,2021-07-03,972138,19.16
US,204,2021-01-15,143648,38.97
Brazil,198,2021-01-09,95431,17.04
Russia,150,2020-11-22,13651,7.72
Spain,54,2020-08-18,28744,675.68
United Kingdom,82,2020-09-15,44999,20.08
Italy,85,2020-09-18,34745,60.53
India,111,2020-10-14,34183,50.09
France,60,2020-08-24,29882,27.59
Germany,72,2020-09-05,9146,8.96
Peru,81,2020-09-14,12737,34.59
Turkey,60,2020-08-24,5220,13.11
Iran,53,2020-08-17,11235,32.75
Chile,34,2020-07-29,6743,44.28
Mexico,125,2020-10-28,50625,62.66
Canada,92,2020-09-25,8679,46.67
Saudi Arabia,72,2020-09-05,2206,24.62
Pakistan,77,2020-09-10,7405,97.37
Qatar,18,2020-07-13,118,0.0
Belgium,54,2020-08-18,9784,22.22
Bangladesh,99,2020-10-02,2717,15.69
