Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,373,2021-07-03,972138,
US,204,2021-01-15,143648,
Brazil,198,2021-01-09,95431,
Russia,150,2020-11-22,13651,
Spain,54,2020-08-18,28744,
United Kingdom,82,2020-09-15,44999,
Italy,84,2020-09-17,34811,
India,111,2020-10-14,34183,
France,60,2020-08-24,29882,
Germany,72,2020-09-05,9146,
Peru,81,2020-09-14,12737,
Turkey,60,2020-08-24,5220,
Iran,53,2020-08-17,11235,
Chile,34,2020-07-29,6743,
Mexico,125,2020-10-28,50625,
Canada,92,2020-09-25,8679,
Saudi Arabia,72,2020-09-05,2206,
Pakistan,77,2020-09-10,7405,
Qatar,18,2020-07-13,118,
Belgium,54,2020-08-18,9784,
Bangladesh,99,2020-10-02,2717,
