Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,165,2020-12-07,12268490,
US,123,2020-10-26,2861983,
Brazil,231,2021-02-11,2883979,
Russia,284,2021-04-05,860804,
Spain,93,2020-09-26,297757,
United Kingdom,211,2021-01-22,338364,
Italy,98,2020-10-01,240939,
India,376,2021-07-06,3118720,
France,190,2021-01-01,210793,
Germany,71,2020-09-04,196655,
Peru,149,2020-11-21,345803,
Turkey,83,2020-09-16,204017,
Iran,371,2021-07-01,417138,
Chile,136,2020-11-08,485254,
Mexico,176,2020-12-18,368346,
Canada,176,2020-12-18,110793,
Saudi Arabia,89,2020-09-22,201383,
Pakistan,86,2020-09-19,239696,
Qatar,148,2020-11-20,112705,
Belgium,78,2020-09-11,62116,
Bangladesh,233,2021-02-13,302763,
