Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,372,2021-06-18,31807335,4.11
US,153,2020-11-11,2310873,38.6
Brazil,183,2020-12-11,1839837,24.75
Russia,375,2021-06-21,1001519,1.24
Spain,93,2020-09-12,290815,64.48
United Kingdom,184,2020-12-12,340562,31.74
Italy,99,2020-09-18,237744,47.14
India,362,2021-06-08,1380321,3.19
France,119,2020-10-08,199603,11.65
Germany,76,2020-08-26,187573,77.94
Peru,101,2020-09-20,271452,15.59
Turkey,153,2020-11-11,191084,42.91
Iran,138,2020-10-27,212215,31.22
Chile,112,2020-10-01,241009,54.11
Mexico,302,2021-04-09,423861,3.24
Canada,171,2020-11-29,110282,14.84
Saudi Arabia,108,2020-09-27,160629,34.18
Pakistan,296,2021-04-03,809863,4.7
Qatar,134,2020-10-23,107707,5.47
Belgium,79,2020-08-29,60442,30.72
Bangladesh,180,2020-12-08,215382,7.23
