Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,120.0,2020-10-09,479427.0,16.65
US,191.0,2020-12-19,138881.0,6.63
Brazil,176.0,2020-12-04,81382.0,30.05
Russia,100.0,2020-09-19,10250.0,13.29
Spain,19.0,2020-06-30,27136.0,0.0
United Kingdom,81.0,2020-08-31,43308.0,7.13
Italy,81.0,2020-08-31,34673.0,5.97
India,60.0,2020-08-10,15996.0,25.88
France,60.0,2020-08-10,29624.0,18.68
Germany,62.0,2020-08-12,8947.0,6.73
Peru,96.0,2020-09-15,8937.0,16.75
Turkey,83.0,2020-09-02,5124.0,13.33
Iran,66.0,2020-08-16,9315.0,42.96
Chile,,,,
Mexico,251.0,2021-02-17,74289.0,31.23
Canada,94.0,2020-09-13,8737.0,6.45
Saudi Arabia,56.0,2020-08-06,1563.0,16.25
Pakistan,103.0,2020-09-22,6597.0,6.37
Qatar,24.0,2020-07-05,99.0,5.56
Belgium,56.0,2020-08-06,9685.0,20.83
Bangladesh,36.0,2020-07-17,1409.0,21.69
