Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,164,2020-11-25,9915783,
US,372,2021-06-21,4216568,
Brazil,204,2021-01-04,2146336,
Russia,378,2021-06-27,1111039,
Spain,89,2020-09-11,293697,
United Kingdom,167,2020-11-28,339677,
Italy,98,2020-09-20,238916,
India,203,2021-01-03,980143,
France,74,2020-08-27,196922,
Germany,74,2020-08-27,189480,
Peru,159,2020-11-20,349032,
Turkey,154,2020-11-15,197707,
Iran,154,2020-11-15,232428,
Chile,84,2020-09-06,267119,
Mexico,308,2021-04-18,488693,
Canada,170,2020-12-01,109620,
Saudi Arabia,99,2020-09-21,182528,
Pakistan,327,2021-05-07,1390030,
Qatar,142,2020-11-03,110840,
Belgium,78,2020-08-31,60732,
Bangladesh,201,2021-01-01,262823,
