Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,131.0,2020-10-23,480509.0,39.86
US,98.0,2020-09-20,125327.0,10.15
Brazil,181.0,2020-12-12,83989.0,7.19
Russia,119.0,2020-10-11,10885.0,13.49
Spain,11.0,2020-06-25,27136.0,99.92
United Kingdom,83.0,2020-09-05,43204.0,16.15
Italy,148.0,2020-11-09,36281.0,22.9
India,62.0,2020-08-15,17493.0,22.51
France,62.0,2020-08-15,29518.0,64.41
Germany,57.0,2020-08-10,9030.0,3.16
Peru,98.0,2020-09-20,9323.0,28.19
Turkey,63.0,2020-08-16,4898.0,59.72
Iran,69.0,2020-08-22,9557.0,52.22
Chile,,,,
Mexico,208.0,2021-01-08,56463.0,2.41
Canada,96.0,2020-09-18,8784.0,10.56
Saudi Arabia,53.0,2020-08-06,1698.0,11.15
Pakistan,73.0,2020-08-26,4857.0,11.26
Qatar,19.0,2020-07-03,85.0,53.85
Belgium,56.0,2020-08-09,9684.0,42.86
Bangladesh,33.0,2020-07-17,1509.0,20.07
