Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,163,2020-12-03,11794417,
US,126,2020-10-27,2769971,
Brazil,212,2021-01-21,2538883,
Russia,379,2021-07-07,981607,
Spain,90,2020-09-21,297490,
United Kingdom,205,2021-01-14,337148,
Italy,99,2020-09-30,240019,
India,374,2021-07-02,2365380,
France,159,2020-11-29,208298,
Germany,71,2020-09-02,195782,
Peru,172,2020-12-12,348585,
Turkey,371,2021-06-29,271456,
Iran,141,2020-11-11,250024,
Chile,48,2020-08-10,359571,
Mexico,386,2021-07-14,613269,
Canada,173,2020-12-13,111143,
Saudi Arabia,168,2020-12-08,246639,
Pakistan,83,2020-09-14,238138,
Qatar,103,2020-10-04,103078,
Belgium,84,2020-09-15,60829,
Bangladesh,269,2021-03-19,339328,
