Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,129.0,2020-10-03,382821.0,57.44
US,94.0,2020-08-29,107349.0,50.65
Brazil,302.0,2021-03-25,138984.0,21.7
Russia,222.0,2021-01-04,15263.0,11.93
Spain,63.0,2020-07-29,27474.0,2045.45
United Kingdom,85.0,2020-08-20,38943.0,65.51
Italy,82.0,2020-08-17,33493.0,46.53
India,172.0,2020-11-15,13552.0,20.51
France,61.0,2020-07-27,28857.0,45.01
Germany,63.0,2020-07-29,8732.0,8.0
Peru,96.0,2020-08-31,6779.0,1.77
Turkey,61.0,2020-07-27,4616.0,34.64
Iran,80.0,2020-08-15,8373.0,41.65
Chile,43.0,2020-07-09,1275.0,37.6
Mexico,110.0,2020-09-14,22240.0,3.61
Canada,90.0,2020-08-25,7919.0,31.91
Saudi Arabia,175.0,2020-11-18,1473.0,41.94
Pakistan,93.0,2020-08-28,2681.0,9.07
Qatar,,,,
Belgium,48.0,2020-07-14,9586.0,22.64
Bangladesh,42.0,2020-07-08,767.0,40.89
