Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,160,2020-11-03,6879897,37.22
US,135,2020-10-09,1949079,32.4
Brazil,96,2020-08-31,882645,7.38
Russia,146,2020-10-20,498221,16.12
Spain,93,2020-08-28,285954,57.97
United Kingdom,149,2020-10-23,326574,73.29
Italy,101,2020-09-05,233661,42.28
India,238,2021-01-20,616940,1.05
France,77,2020-08-12,185124,78.2
Germany,105,2020-09-09,185370,25.51
Peru,187,2020-11-30,299795,19.71
Turkey,139,2020-10-13,175587,15.19
Iran,128,2020-10-02,169243,42.66
Chile,51,2020-07-17,132081,7.07
Mexico,371,2021-06-02,712039,16.63
Canada,151,2020-10-25,108351,1.04
Saudi Arabia,106,2020-09-10,125469,81.74
Pakistan,281,2021-03-04,223666,5.18
Qatar,163,2020-11-06,101574,1.14
Belgium,78,2020-08-13,58729,31.84
Bangladesh,119,2020-09-23,79337,9.57
