Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,134,2020-11-05,540228,
US,111,2020-10-13,126464,
Brazil,196,2021-01-06,94391,
Russia,171,2020-12-12,14837,
Spain,53,2020-08-16,28783,
United Kingdom,85,2020-09-17,44352,
Italy,84,2020-09-16,34827,
India,117,2020-10-19,35427,
France,61,2020-08-24,29785,
Germany,64,2020-08-27,8992,
Peru,101,2020-10-03,12229,
Turkey,60,2020-08-23,5201,
Iran,53,2020-08-16,11083,
Chile,23,2020-07-17,4938,
Mexico,120,2020-10-22,48722,
Canada,91,2020-09-23,8659,
Saudi Arabia,129,2020-10-31,3278,
Pakistan,81,2020-09-13,7514,
Qatar,18,2020-07-12,116,
Belgium,55,2020-08-18,9760,
Bangladesh,111,2020-10-13,2885,
