Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,174,2020-12-15,12041846,22.77
US,382,2021-07-11,3737652,37.02
Brazil,218,2021-01-28,2666989,13.82
Russia,375,2021-07-04,974500,5.4
Spain,92,2020-09-24,297162,43.45
United Kingdom,208,2021-01-18,337550,0.6
Italy,98,2020-09-30,240381,51.32
India,375,2021-07-04,2495496,5.61
France,176,2020-12-17,209872,36.43
Germany,71,2020-09-03,196159,30.23
Peru,148,2020-11-19,344448,9.74
Turkey,84,2020-09-16,201743,38.81
Iran,141,2020-11-12,253110,16.49
Chile,35,2020-07-29,317485,94.26
Mexico,356,2021-06-15,628140,19.93
Canada,176,2020-12-17,110789,12.35
Saudi Arabia,86,2020-09-18,198517,43.08
Pakistan,84,2020-09-16,238438,2.15
Qatar,146,2020-11-17,111435,3.97
Belgium,79,2020-09-11,61751,17.65
Bangladesh,241,2021-02-20,307457,2.89
