Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,160,2020-11-22,10079097,21.3
US,135,2020-10-28,2469103,27.85
Brazil,160,2020-11-22,1449804,20.69
Russia,379,2021-06-29,1114272,8.11
Spain,79,2020-09-02,295105,15.82
United Kingdom,172,2020-12-04,328746,4.18
Italy,99,2020-09-22,238873,31.5
India,80,2020-09-03,605982,19.43
France,74,2020-08-28,197315,27.45
Germany,108,2020-10-01,189242,82.9
Peru,120,2020-10-13,297346,19.94
Turkey,83,2020-09-06,191240,27.75
Iran,181,2020-12-13,245648,21.12
Chile,203,2021-01-04,462724,31.62
Mexico,374,2021-06-24,624631,2.95
Canada,66,2020-08-20,103130,48.54
Saudi Arabia,105,2020-09-28,190721,12.97
Pakistan,265,2021-03-07,915214,42.28
Qatar,144,2020-11-06,111655,19.91
Belgium,81,2020-09-04,60742,15.3
Bangladesh,309,2021-04-20,355305,0.87
