Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,160,2020-11-22,10079097,
US,135,2020-10-28,2469103,
Brazil,160,2020-11-22,1449804,
Russia,379,2021-06-29,1114272,
Spain,93,2020-09-16,292511,
United Kingdom,174,2020-12-06,339921,
Italy,99,2020-09-22,238873,
India,80,2020-09-03,605982,
France,74,2020-08-28,197315,
Germany,75,2020-08-29,189243,
Peru,197,2020-12-29,402697,
Turkey,142,2020-11-04,203030,
Iran,181,2020-12-13,245648,
Chile,84,2020-09-07,260924,
Mexico,367,2021-06-17,563799,
Canada,66,2020-08-20,103130,
Saudi Arabia,105,2020-09-28,190516,
Pakistan,265,2021-03-07,915214,
Qatar,144,2020-11-06,111655,
Belgium,79,2020-09-02,60732,
Bangladesh,207,2021-01-08,273716,
