Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,133,2020-11-03,534191.0,
US,109,2020-10-10,126580.0,
Brazil,175,2020-12-15,81550.0,
Russia,177,2020-12-17,15148.0,
Spain,52,2020-08-14,28830.0,
United Kingdom,88,2020-09-19,43314.0,
Italy,83,2020-09-14,34906.0,
India,106,2020-10-07,32540.0,
France,61,2020-08-23,29732.0,
Germany,64,2020-08-26,8988.0,
Peru,82,2020-09-13,12204.0,
Turkey,60,2020-08-22,5165.0,
Iran,55,2020-08-17,10919.0,
Chile,36,2020-07-29,5308.0,
Mexico,49,2020-08-11,32903.0,
Canada,90,2020-09-21,8693.0,
Saudi Arabia,130,2020-10-31,3322.0,
Pakistan,101,2020-10-02,7923.0,
Qatar,37,2020-07-30,142.0,
Belgium,62,2020-08-24,9713.0,
Bangladesh,113,2020-10-14,2943.0,
