Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,133,2020-11-03,534191.0,27.11
US,109,2020-10-10,126580.0,71.45
Brazil,175,2020-12-15,81550.0,6.18
Russia,177,2020-12-17,15148.0,13.36
Spain,52,2020-08-14,28830.0,1439.13
United Kingdom,88,2020-09-19,43314.0,78.63
Italy,83,2020-09-14,34906.0,63.64
India,106,2020-10-07,32540.0,45.4
France,61,2020-08-23,29732.0,66.23
Germany,64,2020-08-26,8988.0,35.06
Peru,82,2020-09-13,12204.0,28.63
Turkey,60,2020-08-22,5165.0,24.43
Iran,55,2020-08-17,10919.0,35.39
Chile,36,2020-07-29,5308.0,45.81
Mexico,49,2020-08-11,32903.0,34.96
Canada,90,2020-09-21,8693.0,23.7
Saudi Arabia,130,2020-10-31,3322.0,5.59
Pakistan,101,2020-10-02,7923.0,69.67
Qatar,37,2020-07-30,142.0,6.67
Belgium,62,2020-08-24,9713.0,97.14
Bangladesh,113,2020-10-14,2943.0,5.94
