Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,137,2020-11-12,561769.0,22.0
US,77,2020-09-13,141610.0,84.95
Brazil,233,2021-02-16,105932.0,3.99
Russia,150,2020-11-25,14172.0,1.84
Spain,10,2020-07-08,28341.0,97.78
United Kingdom,86,2020-09-22,44634.0,19.64
Italy,84,2020-09-20,34857.0,41.94
India,34,2020-08-01,17884.0,65.24
France,61,2020-08-28,29861.0,48.28
Germany,63,2020-08-30,9053.0,3.64
Peru,115,2020-10-21,13724.0,14.24
Turkey,62,2020-08-29,5223.0,41.09
Iran,61,2020-08-28,11657.0,41.26
Chile,30,2020-07-28,6448.0,8.75
Mexico,141,2020-11-16,55981.0,72.39
Canada,92,2020-09-28,8676.0,64.97
Saudi Arabia,88,2020-09-24,2545.0,27.87
Pakistan,44,2020-08-11,4736.0,38.82
Qatar,22,2020-07-20,128.0,31.58
Belgium,56,2020-08-23,9739.0,80.0
Bangladesh,103,2020-10-09,2801.0,20.95
