Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,156,2020-12-01,13051954,11.62
US,96,2020-10-02,3040157,27.58
Brazil,284,2021-04-08,4042246,31.11
Russia,285,2021-04-09,862569,10.37
Spain,90,2020-09-26,300431,0.63
United Kingdom,162,2020-12-07,299581,44.42
Italy,97,2020-10-03,242411,11.44
India,379,2021-07-12,2959104,3.4
France,73,2020-09-09,202688,55.81
Germany,72,2020-09-08,197668,33.2
Peru,159,2020-12-04,355115,4.79
Turkey,84,2020-09-20,208468,24.94
Iran,145,2020-11-20,264498,15.75
Chile,141,2020-11-16,469779,140.81
Mexico,362,2021-06-25,643416,7.17
Canada,97,2020-10-03,109152,33.41
Saudi Arabia,157,2020-12-02,260591,17.37
Pakistan,66,2020-09-02,223012,52.03
Qatar,132,2020-11-07,110243,6.18
Belgium,79,2020-09-15,61975,44.6
Bangladesh,231,2021-02-14,294501,6.68
