Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,137,2020-11-12,561769.0,
US,80,2020-09-16,141125.0,
Brazil,233,2021-02-16,105887.0,
Russia,150,2020-11-25,14172.0,
Spain,10,2020-07-08,28341.0,
United Kingdom,86,2020-09-22,44634.0,
Italy,84,2020-09-20,34857.0,
India,34,2020-08-01,17884.0,
France,61,2020-08-28,29861.0,
Germany,63,2020-08-30,9053.0,
Peru,115,2020-10-21,13724.0,
Turkey,62,2020-08-29,5223.0,
Iran,61,2020-08-28,11657.0,
Chile,30,2020-07-28,6448.0,
Mexico,141,2020-11-16,55981.0,
Canada,92,2020-09-28,8676.0,
Saudi Arabia,88,2020-09-24,2545.0,
Pakistan,49,2020-08-16,4877.0,
Qatar,22,2020-07-20,128.0,
Belgium,56,2020-08-23,9739.0,
Bangladesh,103,2020-10-09,2801.0,
