Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,156,2020-12-01,13051954,
US,104,2020-10-10,3033618,
Brazil,284,2021-04-08,4038694,
Russia,285,2021-04-09,862569,
Spain,90,2020-09-26,300431,
United Kingdom,217,2021-01-31,344175,
Italy,97,2020-10-03,242411,
India,379,2021-07-12,2959104,
France,73,2020-09-09,202688,
Germany,72,2020-09-08,197668,
Peru,159,2020-12-04,355115,
Turkey,84,2020-09-20,208468,
Iran,145,2020-11-20,264498,
Chile,141,2020-11-16,469779,
Mexico,362,2021-06-25,643416,
Canada,97,2020-10-03,109152,
Saudi Arabia,157,2020-12-02,260591,
Pakistan,66,2020-09-02,223012,
Qatar,132,2020-11-07,110243,
Belgium,79,2020-09-15,61975,
Bangladesh,231,2021-02-14,294501,
