Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,157,2020-10-30,6788042,33.31
US,132,2020-10-05,1934541,28.86
Brazil,97,2020-08-31,870255,13.59
Russia,134,2020-10-07,484729,22.05
Spain,93,2020-08-27,285774,55.37
United Kingdom,145,2020-10-18,323357,67.59
Italy,99,2020-09-02,234553,20.26
India,190,2020-12-02,450623,2.6
France,77,2020-08-11,185261,75.59
Germany,105,2020-09-08,184111,50.29
Peru,178,2020-11-20,282479,16.52
Turkey,137,2020-10-10,175875,10.65
Iran,126,2020-09-29,168185,36.93
Chile,65,2020-07-30,142127,4.09
Mexico,251,2021-02-01,297308,7.65
Canada,162,2020-11-04,109760,5.48
Saudi Arabia,105,2020-09-08,125184,58.54
Pakistan,295,2021-03-17,242679,11.46
Qatar,157,2020-10-30,95802,3.39
Belgium,76,2020-08-10,59125,11.54
Bangladesh,119,2020-09-22,76231,21.5
