Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,153,2020-10-25,6696291,30.55
US,127,2020-09-29,1926241,22.35
Brazil,86,2020-08-19,774683,8.45
Russia,146,2020-10-18,481339,16.26
Spain,93,2020-08-26,286108,47.38
United Kingdom,142,2020-10-14,315722,20.95
Italy,99,2020-09-01,234685,15.16
India,121,2020-09-23,342158,6.99
France,77,2020-08-10,185493,70.98
Germany,104,2020-09-06,185089,30.72
Peru,172,2020-11-13,272112,27.95
Turkey,135,2020-10-07,173880,16.09
Iran,125,2020-09-27,165674,33.07
Chile,60,2020-07-24,132003,8.94
Mexico,149,2020-10-21,154473,1.88
Canada,120,2020-09-22,101233,1.51
Saudi Arabia,90,2020-08-23,117313,63.99
Pakistan,239,2021-01-19,366160,45.37
Qatar,153,2020-10-25,91989,4.65
Belgium,76,2020-08-09,59196,3.23
Bangladesh,63,2020-07-27,58156,11.38
