Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,127.0,2020-09-29,376177.0,50.96
US,89.0,2020-08-22,108671.0,24.48
Brazil,200.0,2020-12-11,83959.0,20.59
Russia,70.0,2020-08-03,5378.0,32.54
Spain,46.0,2020-07-10,30610.0,184.54
United Kingdom,85.0,2020-08-18,38681.0,55.86
Italy,80.0,2020-08-13,33683.0,18.86
India,147.0,2020-10-19,11153.0,19.83
France,62.0,2020-07-26,28558.0,69.27
Germany,66.0,2020-07-30,8477.0,56.68
Peru,65.0,2020-07-29,4775.0,46.81
Turkey,61.0,2020-07-25,4576.0,33.33
Iran,70.0,2020-08-03,7951.0,36.92
Chile,41.0,2020-07-05,1247.0,17.69
Mexico,65.0,2020-07-29,14357.0,20.71
Canada,89.0,2020-08-22,7617.0,44.83
Saudi Arabia,78.0,2020-08-11,775.0,28.35
Pakistan,92.0,2020-08-25,2717.0,1.59
Qatar,,,,
Belgium,56.0,2020-07-20,9481.0,31.43
Bangladesh,35.0,2020-06-29,781.0,6.98
