Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,160,2020-12-03,12519415,15.64
US,111,2020-10-15,2915129,37.25
Brazil,209,2021-01-21,2667940,18.06
Russia,283,2021-04-05,859371,7.16
Spain,94,2020-09-28,298046,44.61
United Kingdom,154,2020-11-27,298867,59.54
Italy,96,2020-09-30,242238,10.83
India,377,2021-07-08,3506665,1.21
France,205,2021-01-17,211738,53.13
Germany,285,2021-04-07,215858,11.55
Peru,152,2020-11-25,348621,7.97
Turkey,82,2020-09-16,206263,24.28
Iran,371,2021-07-02,524185,1.6
Chile,138,2020-11-11,480900,142.67
Mexico,364,2021-06-25,649882,16.21
Canada,176,2020-12-19,110870,13.85
Saudi Arabia,97,2020-10-01,213691,36.57
Pakistan,84,2020-09-18,235892,19.52
Qatar,149,2020-11-22,112666,5.43
Belgium,80,2020-09-14,61799,34.41
Bangladesh,230,2021-02-11,298552,4.74
