Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,160,2020-12-03,12519415,
US,111,2020-10-15,2915129,
Brazil,209,2021-01-21,2667940,
Russia,283,2021-04-05,859371,
Spain,94,2020-09-28,298046,
United Kingdom,215,2021-01-27,339612,
Italy,96,2020-09-30,242238,
India,377,2021-07-08,3506665,
France,205,2021-01-17,211738,
Germany,285,2021-04-07,215858,
Peru,152,2020-11-25,348621,
Turkey,82,2020-09-16,206263,
Iran,371,2021-07-02,524185,
Chile,138,2020-11-11,480900,
Mexico,364,2021-06-25,649882,
Canada,176,2020-12-19,110870,
Saudi Arabia,97,2020-10-01,213691,
Pakistan,84,2020-09-18,235892,
Qatar,149,2020-11-22,112666,
Belgium,80,2020-09-14,61799,
Bangladesh,230,2021-02-11,298552,
