Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,123,2020-10-27,563611,
US,98,2020-10-02,135285,
Brazil,171,2020-12-14,86287,
Russia,142,2020-11-15,13276,
Spain,54,2020-08-19,28706,
United Kingdom,108,2020-10-12,46284,
Italy,85,2020-09-19,34726,
India,122,2020-10-26,37193,
France,60,2020-08-25,29902,
Germany,78,2020-09-12,9228,
Peru,108,2020-10-12,12954,
Turkey,60,2020-08-25,5226,
Iran,51,2020-08-16,11357,
Chile,29,2020-07-25,5449,
Mexico,131,2020-11-04,52973,
Canada,89,2020-09-23,8787,
Saudi Arabia,86,2020-09-20,2511,
Pakistan,132,2020-11-05,9065,
Qatar,32,2020-07-28,155,
Belgium,55,2020-08-20,9757,
Bangladesh,85,2020-09-19,2532,
