Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,174,2020-12-26,14933951,14.01
US,90,2020-10-03,3460172,29.49
Brazil,377,2021-07-17,5345318,21.41
Russia,364,2021-07-04,957299,9.35
Spain,88,2020-10-01,300327,52.82
United Kingdom,153,2020-12-05,297337,32.08
Italy,96,2020-10-09,243935,4.77
India,386,2021-07-26,3878010,4.93
France,75,2020-09-18,206208,66.13
Germany,74,2020-09-17,199981,35.84
Peru,173,2020-12-25,368111,21.85
Turkey,220,2021-02-10,240696,3.8
Iran,373,2021-07-13,590356,6.47
Chile,61,2020-09-04,309328,43.8
Mexico,382,2021-07-22,731816,7.95
Canada,118,2020-10-31,115574,84.44
Saudi Arabia,232,2021-02-22,343113,13.73
Pakistan,98,2020-10-11,266574,8.94
Qatar,140,2020-11-22,114611,11.92
Belgium,78,2020-09-21,62864,28.03
Bangladesh,241,2021-03-03,297921,11.16
