Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,139,2020-11-21,599076,23.22
US,371,2021-07-11,179680,2.71
Brazil,160,2020-12-12,98313,28.98
Russia,156,2020-12-08,15385,8.94
Spain,25,2020-07-30,28398,31.58
United Kingdom,87,2020-09-30,45078,31.0
Italy,82,2020-09-25,35057,35.29
India,115,2020-10-28,37818,39.06
France,61,2020-09-04,29919,82.14
Germany,63,2020-09-06,9054,52.0
Peru,253,2021-03-15,21815,2.44
Turkey,171,2020-12-23,6171,11.51
Iran,50,2020-08-24,12863,36.54
Chile,62,2020-09-05,9351,125.07
Mexico,86,2020-09-29,37438,35.55
Canada,89,2020-10-02,8905,3.45
Saudi Arabia,117,2020-10-30,3720,21.1
Pakistan,63,2020-09-06,5672,13.17
Qatar,33,2020-08-07,163,10.0
Belgium,54,2020-08-28,9784,8.33
Bangladesh,115,2020-10-28,3421,1.99
