Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,120.0,2020-10-04,453444.0,15.91
US,91.0,2020-09-05,121380.0,1.32
Brazil,129.0,2020-10-13,59653.0,11.18
Russia,98.0,2020-09-12,8857.0,1.27
Spain,17.0,2020-06-23,27135.0,33.33
United Kingdom,80.0,2020-08-25,42511.0,7.83
Italy,81.0,2020-08-26,34361.0,26.0
India,191.0,2020-12-14,25320.0,2.98
France,61.0,2020-08-06,29411.0,22.73
Germany,64.0,2020-08-09,8831.0,16.53
Peru,85.0,2020-08-30,8417.0,14.75
Turkey,74.0,2020-08-19,5032.0,7.26
Iran,71.0,2020-08-16,8787.0,42.15
Chile,,,,
Mexico,61.0,2020-08-06,25943.0,65.85
Canada,76.0,2020-08-21,8778.0,48.56
Saudi Arabia,73.0,2020-08-18,1458.0,26.46
Pakistan,41.0,2020-07-17,3181.0,11.67
Qatar,15.0,2020-06-21,56.0,70.0
Belgium,55.0,2020-07-31,9685.0,7.04
Bangladesh,37.0,2020-07-13,1131.0,38.44
