Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,125.0,2020-10-10,450687.0,27.78
US,93.0,2020-09-08,121646.0,6.55
Brazil,170.0,2020-11-24,80729.0,35.96
Russia,108.0,2020-09-23,9012.0,3.58
Spain,17.0,2020-06-24,27135.0,50.0
United Kingdom,80.0,2020-08-26,42736.0,2.42
Italy,81.0,2020-08-27,34479.0,21.71
India,191.0,2020-12-15,24355.0,6.83
France,62.0,2020-08-08,29344.0,45.53
Germany,64.0,2020-08-10,8813.0,28.21
Peru,105.0,2020-09-20,8148.0,1.49
Turkey,76.0,2020-08-22,5051.0,4.31
Iran,68.0,2020-08-14,8940.0,36.98
Chile,,,,
Mexico,70.0,2020-08-16,22988.0,23.03
Canada,78.0,2020-08-24,8751.0,38.74
Saudi Arabia,76.0,2020-08-22,1579.0,22.99
Pakistan,88.0,2020-09-03,4840.0,5.07
Qatar,23.0,2020-06-30,71.0,35.0
Belgium,50.0,2020-07-27,9784.0,34.43
Bangladesh,34.0,2020-07-11,1164.0,34.15
