Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,139,2020-10-16,7530702,18.22
US,375,2021-06-09,2911874,16.4
Brazil,186,2020-12-02,1707160,9.14
Russia,168,2020-11-14,550330,18.05
Spain,93,2020-08-31,288892,21.28
United Kingdom,165,2020-11-11,340621,43.57
Italy,98,2020-09-05,236705,7.79
India,328,2021-04-23,965860,3.31
France,72,2020-08-10,194410,52.35
Germany,73,2020-08-11,186192,12.83
Peru,169,2020-11-15,369001,27.06
Turkey,141,2020-10-18,180483,1.49
Iran,127,2020-10-04,185797,31.39
Chile,109,2020-09-16,176574,13.1
Mexico,371,2021-06-05,688844,11.49
Canada,161,2020-11-07,111737,14.23
Saudi Arabia,85,2020-08-23,108112,25.92
Pakistan,127,2020-10-04,123257,42.06
Qatar,218,2021-01-03,162135,28.33
Belgium,77,2020-08-15,59659,1.24
Bangladesh,333,2021-04-28,345874,3.44
