Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,117.0,2020-09-23,416917.0,19.43
US,88.0,2020-08-25,112988.0,21.14
Brazil,256.0,2021-02-09,107573.0,11.49
Russia,256.0,2021-02-09,24454.0,19.97
Spain,63.0,2020-07-31,27395.0,1133.33
United Kingdom,76.0,2020-08-13,41457.0,12.37
Italy,81.0,2020-08-18,33825.0,29.01
India,150.0,2020-10-26,13719.0,10.06
France,61.0,2020-07-29,28988.0,44.31
Germany,62.0,2020-07-30,8817.0,26.45
Peru,93.0,2020-08-30,6950.0,11.36
Turkey,60.0,2020-07-28,4705.0,15.62
Iran,69.0,2020-08-06,8212.0,37.34
Chile,21.0,2020-06-19,1067.0,65.52
Mexico,131.0,2020-10-07,27440.0,6.07
Canada,85.0,2020-08-22,8281.0,23.23
Saudi Arabia,71.0,2020-08-08,866.0,41.08
Pakistan,68.0,2020-08-05,1995.0,57.28
Qatar,,,,
Belgium,70.0,2020-08-07,9785.0,13.87
Bangladesh,44.0,2020-07-12,798.0,48.26
