Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,147,2020-10-23,7338590,24.53
US,273,2021-02-26,2337427,18.1
Brazil,239,2021-01-23,1545113,11.22
Russia,149,2020-10-25,502712,25.26
Spain,59,2020-07-27,287132,51.82
United Kingdom,153,2020-10-29,329190,28.76
Italy,129,2020-10-05,240255,19.68
India,265,2021-02-18,722314,0.79
France,75,2020-08-12,188025,65.28
Germany,72,2020-08-09,185989,5.33
Peru,158,2020-11-03,342494,13.52
Turkey,142,2020-10-18,177593,13.34
Iran,128,2020-10-04,178566,39.6
Chile,60,2020-07-28,154955,2.83
Mexico,156,2020-11-01,187817,7.82
Canada,157,2020-11-02,110925,11.45
Saudi Arabia,109,2020-09-15,128634,34.23
Pakistan,118,2020-09-24,112099,41.69
Qatar,209,2020-12-24,137748,8.09
Belgium,77,2020-08-14,59282,11.57
Bangladesh,118,2020-09-24,90668,16.21
