Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,116,2020-09-14,382886.0,9.95
US,85,2020-08-14,105034.0,19.45
Brazil,40,2020-06-30,28564.0,1.19
Russia,156,2020-10-24,9326.0,12.74
Spain,63,2020-07-23,28235.0,130.43
United Kingdom,80,2020-08-09,39630.0,7.35
Italy,79,2020-08-08,33327.0,23.01
India,123,2020-09-21,8223.0,10.9
France,61,2020-07-21,28585.0,32.12
Germany,61,2020-07-21,8666.0,7.46
Peru,105,2020-09-03,7261.0,1.46
Turkey,63,2020-07-23,4414.0,51.17
Iran,67,2020-07-27,7800.0,19.53
Chile,32,2020-06-22,757.0,52.35
Mexico,51,2020-07-11,11837.0,13.65
Canada,83,2020-08-12,7106.0,34.89
Saudi Arabia,87,2020-08-16,697.0,15.38
Pakistan,90,2020-08-19,2339.0,34.43
Qatar,7,2020-05-28,17.0,94.12
Belgium,56,2020-07-16,9370.0,35.96
Bangladesh,43,2020-07-03,691.0,14.47
