Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,122,2020-09-30,418228.0,28.88
US,88,2020-08-27,115279.0,17.37
Brazil,164,2020-11-11,78120.0,25.6
Russia,53,2020-07-23,6998.0,11.04
Spain,10,2020-06-10,27125.0,90.91
United Kingdom,79,2020-08-18,40534.0,45.5
Italy,82,2020-08-21,33909.0,36.29
India,42,2020-07-12,7930.0,12.67
France,62,2020-08-01,29052.0,48.12
Germany,64,2020-08-03,8718.0,21.92
Peru,155,2020-11-02,10889.0,12.14
Turkey,61,2020-07-31,4717.0,26.8
Iran,71,2020-08-10,8290.0,46.39
Chile,62,2020-08-01,1860.0,43.67
Mexico,146,2020-10-24,31580.0,2.07
Canada,79,2020-08-18,8034.0,34.92
Saudi Arabia,53,2020-07-23,858.0,41.43
Pakistan,49,2020-07-19,2683.0,5.77
Qatar,14,2020-06-14,46.0,47.06
Belgium,55,2020-07-25,9621.0,15.5
Bangladesh,33,2020-07-03,845.0,44.77
