Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,179,2020-12-18,11614150,23.13
US,117,2020-10-17,2734248,33.83
Brazil,207,2021-01-15,2510884,8.97
Russia,382,2021-07-09,987468,6.32
Spain,89,2020-09-19,296945,36.81
United Kingdom,198,2021-01-06,338753,11.73
Italy,100,2020-09-30,239497,71.47
India,373,2021-06-30,2572089,5.07
France,73,2020-09-03,200852,1.58
Germany,72,2020-09-02,194769,41.31
Peru,191,2020-12-30,361715,6.71
Turkey,153,2020-11-22,212865,30.93
Iran,143,2020-11-12,246269,20.59
Chile,50,2020-08-11,358955,146.75
Mexico,380,2021-07-07,595245,6.82
Canada,173,2020-12-12,111176,1.71
Saudi Arabia,163,2020-12-02,241355,4.42
Pakistan,98,2020-09-28,284388,60.33
Qatar,94,2020-09-24,100431,24.52
Belgium,82,2020-09-12,60754,84.48
Bangladesh,327,2021-05-15,404053,8.06
