Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,133,2020-11-02,528032.0,28.33
US,201,2021-01-09,139834.0,39.72
Brazil,185,2020-12-24,90598.0,14.18
Russia,145,2020-11-14,13594.0,17.76
Spain,32,2020-07-24,30140.0,7180.95
United Kingdom,87,2020-09-17,43334.0,64.26
Italy,82,2020-09-12,34960.0,67.57
India,303,2021-04-21,111760.0,57.86
France,62,2020-08-23,29700.0,68.35
Germany,63,2020-08-24,8980.0,29.49
Peru,100,2020-09-30,11433.0,9.75
Turkey,60,2020-08-21,5138.0,30.28
Iran,55,2020-08-16,10781.0,34.45
Chile,55,2020-08-16,10104.0,122.6
Mexico,108,2020-10-08,42982.0,37.09
Canada,93,2020-09-23,9291.0,164.36
Saudi Arabia,131,2020-10-31,3385.0,10.24
Pakistan,100,2020-09-30,7916.0,79.41
Qatar,22,2020-07-14,118.0,13.33
Belgium,59,2020-08-20,9696.0,97.3
Bangladesh,115,2020-10-15,2982.0,2.84
