Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,168,2020-12-25,16338779,9.76
US,86,2020-10-04,3796327,29.69
Brazil,326,2021-06-01,4138059,27.62
Russia,166,2020-12-23,812995,16.78
Spain,106,2020-10-24,305449,66.36
United Kingdom,151,2020-12-08,299699,46.06
Italy,95,2020-10-13,244874,7.98
India,391,2021-08-05,4764671,6.44
France,74,2020-09-22,210596,44.41
Germany,75,2020-09-23,201365,53.61
Peru,311,2021-05-17,469578,10.98
Turkey,228,2021-02-23,242966,8.79
Iran,385,2021-07-30,592561,7.15
Chile,79,2020-09-27,331105,23.31
Mexico,371,2021-07-16,1334473,21.85
Canada,201,2021-01-27,118501,26.88
Saudi Arabia,265,2021-04-01,369293,23.11
Pakistan,107,2020-10-25,278790,1.18
Qatar,147,2020-12-04,113159,2.23
Belgium,79,2020-09-27,62902,72.09
Bangladesh,197,2021-01-23,269754,1.15
