Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,147,2020-10-26,7742043,21.93
US,128,2020-10-07,2096539,26.71
Brazil,63,2020-08-03,916769,22.06
Russia,142,2020-10-21,531499,21.07
Spain,89,2020-08-29,292721,73.99
United Kingdom,150,2020-10-29,318420,1.27
Italy,100,2020-09-09,236409,6.14
India,332,2021-04-29,984981,3.47
France,73,2020-08-13,194091,61.06
Germany,74,2020-08-14,185682,45.85
Peru,82,2020-08-22,297676,91.8
Turkey,145,2020-10-24,181455,7.49
Iran,129,2020-10-08,190901,28.64
Chile,90,2020-08-30,231998,20.96
Mexico,266,2021-02-22,303172,5.25
Canada,161,2020-11-09,113028,13.15
Saudi Arabia,99,2020-09-08,116753,32.96
Pakistan,164,2020-11-12,168317,38.27
Qatar,203,2020-12-21,145449,23.7
Belgium,78,2020-08-18,59484,28.85
Bangladesh,119,2020-09-28,104810,11.22
