Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,173,2020-11-29,8909279,28.69
US,143,2020-10-30,2290254,25.0
Brazil,253,2021-02-17,2419435,26.2
Russia,137,2020-10-24,593752,21.25
Spain,93,2020-09-10,290620,55.37
United Kingdom,169,2020-11-25,334959,15.42
Italy,100,2020-09-17,237166,48.39
India,371,2021-06-15,2133379,9.08
France,98,2020-09-15,197672,19.98
Germany,75,2020-08-23,188138,38.44
Peru,231,2021-01-26,478479,36.41
Turkey,319,2021-04-24,215481,32.14
Iran,133,2020-10-20,208738,23.75
Chile,90,2020-09-07,225730,15.38
Mexico,312,2021-04-17,437365,2.95
Canada,169,2020-11-25,110418,33.57
Saudi Arabia,220,2021-01-15,259294,13.73
Pakistan,301,2021-04-06,751459,5.28
Qatar,117,2020-10-04,98914,9.12
Belgium,78,2020-08-26,60259,30.6
Bangladesh,164,2020-11-20,187018,6.17
