Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,129,2020-10-09,414625.0,48.64
US,95,2020-09-05,113865.0,39.13
Brazil,196,2020-12-15,74412.0,1.47
Russia,87,2020-08-28,7712.0,4.8
Spain,12,2020-06-14,27127.0,90.0
United Kingdom,78,2020-08-19,41949.0,6.39
Italy,81,2020-08-22,34133.0,23.88
India,161,2020-11-10,15950.0,13.58
France,62,2020-08-03,29043.0,61.27
Germany,65,2020-08-06,8702.0,48.28
Peru,145,2020-10-25,10891.0,14.29
Turkey,61,2020-08-02,4743.0,30.34
Iran,65,2020-08-06,8592.0,26.24
Chile,126,2020-10-06,4152.0,62.24
Mexico,222,2021-01-10,43303.0,15.82
Canada,72,2020-08-13,8536.0,18.34
Saudi Arabia,60,2020-08-01,1013.0,40.43
Pakistan,75,2020-08-16,3415.0,3.26
Qatar,15,2020-06-17,49.0,65.0
Belgium,57,2020-07-29,9584.0,48.7
Bangladesh,31,2020-07-03,998.0,26.97
