Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,116,2020-09-10,361116.0,23.04
US,83,2020-08-08,99759.0,27.41
Brazil,54,2020-07-10,27820.0,0.78
Russia,60,2020-07-16,3822.0,28.76
Spain,60,2020-07-16,28199.0,63.7
United Kingdom,81,2020-08-06,38142.0,11.06
Italy,76,2020-08-01,33213.0,13.21
India,97,2020-08-22,5878.0,19.3
France,61,2020-07-17,28515.0,0.0
Germany,38,2020-06-24,8251.0,44.41
Peru,81,2020-08-06,4850.0,2.97
Turkey,60,2020-07-16,4447.0,4.98
Iran,102,2020-08-27,8089.0,34.19
Chile,27,2020-06-13,623.0,54.28
Mexico,187,2020-11-20,24376.0,4.6
Canada,79,2020-08-04,7266.0,6.8
Saudi Arabia,86,2020-08-11,632.0,10.13
Pakistan,65,2020-07-21,1744.0,8.81
Qatar,9,2020-05-26,15.0,88.89
Belgium,56,2020-07-12,9295.0,25.33
Bangladesh,42,2020-06-28,551.0,32.68
