Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,144,2020-10-28,8609341,12.56
US,138,2020-10-22,2224989,21.81
Brazil,116,2020-09-30,2162624,74.43
Russia,135,2020-10-19,565075,23.74
Spain,92,2020-09-06,290597,33.38
United Kingdom,150,2020-11-03,325735,58.51
Italy,132,2020-10-16,240319,3.21
India,259,2021-02-20,834007,6.24
France,74,2020-08-19,192155,56.82
Germany,73,2020-08-18,188291,0.59
Peru,196,2020-12-19,475252,80.72
Turkey,200,2020-12-23,193351,23.24
Iran,131,2020-10-15,221904,21.0
Chile,110,2020-09-24,206328,25.62
Mexico,305,2021-04-07,482039,13.37
Canada,129,2020-10-13,107199,4.29
Saudi Arabia,85,2020-08-30,135883,19.59
Pakistan,45,2020-07-21,140798,21.83
Qatar,108,2020-09-22,95253,10.76
Belgium,78,2020-08-23,60005,33.06
Bangladesh,48,2020-07-24,94253,4.05
