Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,135,2020-11-23,638289.0,17.69
US,97,2020-10-16,146118.0,12.66
Brazil,160,2020-12-18,102506.0,21.64
Russia,181,2021-01-08,16972.0,0.96
Spain,23,2020-08-03,28424.0,16.67
United Kingdom,87,2020-10-06,45569.0,22.69
Italy,84,2020-10-03,34991.0,66.67
India,372,2021-07-18,163345.0,4.61
France,59,2020-09-08,30130.0,40.94
Germany,82,2020-10-01,9193.0,104.55
Peru,205,2021-02-01,20113.0,4.69
Turkey,371,2021-07-17,9168.0,6.82
Iran,40,2020-08-20,13973.0,29.96
Chile,59,2020-09-08,8262.0,43.97
Mexico,146,2020-12-04,52037.0,3.05
Canada,59,2020-09-08,8811.0,98.65
Saudi Arabia,55,2020-09-04,2688.0,18.35
Pakistan,102,2020-10-21,6777.0,8.75
Qatar,16,2020-07-27,161.0,77.78
Belgium,54,2020-09-03,9786.0,73.68
Bangladesh,124,2020-11-12,3635.0,6.14
