Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,162,2020-12-20,16595315.0,7.75
US,86,2020-10-05,3884816.0,28.39
Brazil,332,2021-06-08,4228885.0,34.22
Russia,166,2020-12-24,819976.0,15.88
Spain,103,2020-10-22,307823.0,60.18
United Kingdom,93,2020-10-12,290504.0,99.98
Italy,97,2020-10-16,243946.0,54.63
India,371,2021-07-17,46028507.0,2.4
France,74,2020-09-23,211673.0,40.21
Germany,75,2020-09-24,201743.0,53.68
Peru,318,2021-05-25,478045.0,12.75
Turkey,229,2021-02-25,243960.0,8.12
Iran,386,2021-08-01,581240.0,7.89
Chile,82,2020-10-01,335402.0,20.21
Mexico,372,2021-07-18,1322239.0,18.29
Canada,206,2021-02-02,119742.0,24.88
Saudi Arabia,135,2020-11-23,280528.0,10.09
Pakistan,109,2020-10-28,280246.0,0.54
Qatar,147,2020-12-05,113153.0,4.12
Belgium,78,2020-09-27,63340.0,59.21
Bangladesh,197,2021-01-24,268665.0,4.06
