Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,189,2021-01-21,18462540,
US,89,2020-10-13,4285382,
Brazil,325,2021-06-06,3593778,
Russia,173,2021-01-05,846753,
Spain,72,2020-09-26,312595,
United Kingdom,113,2020-11-06,308038,
Italy,97,2020-10-21,244660,
India,375,2021-07-26,76726088,
France,73,2020-09-27,215734,
Germany,200,2021-02-01,212788,
Peru,371,2021-07-22,558077,
Turkey,259,2021-04-01,251877,
Iran,391,2021-08-11,544962,
Chile,110,2020-11-03,350319,
Mexico,376,2021-07-27,1484858,
Canada,117,2020-11-10,118456,
Saudi Arabia,143,2020-12-06,289230,
Pakistan,118,2020-11-11,282246,
Qatar,158,2020-12-21,113927,
Belgium,79,2020-10-03,63825,
Bangladesh,217,2021-02-18,284388,
