Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,139,2020-12-02,664559.0,
US,373,2021-07-24,184809.0,
Brazil,375,2021-07-26,200660.0,
Russia,163,2020-12-26,15442.0,
Spain,30,2020-08-15,28444.0,
United Kingdom,86,2020-10-10,46031.0,
Italy,82,2020-10-06,35102.0,
India,79,2020-10-03,33382.0,
France,114,2020-11-07,30850.0,
Germany,64,2020-09-18,9091.0,
Peru,250,2021-03-23,23036.0,
Turkey,246,2021-03-19,6873.0,
Iran,47,2020-09-01,15170.0,
Chile,57,2020-09-11,8223.0,
Mexico,153,2020-12-16,57458.0,
Canada,68,2020-09-22,8857.0,
Saudi Arabia,60,2020-09-14,2872.0,
Pakistan,105,2020-10-29,6966.0,
Qatar,26,2020-08-11,171.0,
Belgium,53,2020-09-07,9810.0,
Bangladesh,107,2020-10-31,3704.0,
