Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,125,2020-10-04,415114.0,39.95
US,90,2020-08-30,115426.0,18.96
Brazil,207,2020-12-25,80548.0,6.34
Russia,81,2020-08-21,7404.0,5.29
Spain,11,2020-06-12,27127.0,90.0
United Kingdom,80,2020-08-20,40800.0,38.61
Italy,81,2020-08-21,34138.0,15.67
India,156,2020-11-04,14498.0,16.77
France,62,2020-08-02,29044.0,52.54
Germany,65,2020-08-05,8694.0,36.17
Peru,147,2020-10-26,10935.0,20.0
Turkey,61,2020-08-01,4722.0,31.54
Iran,70,2020-08-10,8425.0,38.61
Chile,224,2021-01-11,10500.0,17.98
Mexico,212,2020-12-30,40600.0,15.36
Canada,87,2020-08-27,8511.0,2.18
Saudi Arabia,57,2020-07-28,934.0,40.54
Pakistan,53,2020-07-24,2888.0,8.19
Qatar,8,2020-06-09,42.0,83.33
Belgium,57,2020-07-28,9579.0,43.8
Bangladesh,30,2020-07-01,933.0,30.12
