Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,173,2020-12-29,16076894,12.0
US,91,2020-10-08,3731221,30.15
Brazil,381,2021-07-25,6268569,31.12
Russia,169,2020-12-25,800495,22.74
Spain,81,2020-09-28,304873,35.49
United Kingdom,148,2020-12-04,299402,42.33
Italy,98,2020-10-15,242980,66.2
India,390,2021-08-03,4730956,5.58
France,72,2020-09-19,211952,12.42
Germany,75,2020-09-22,201028,48.65
Peru,296,2021-05-01,455766,11.47
Turkey,226,2021-02-20,242574,7.58
Iran,147,2020-12-03,294315,6.06
Chile,72,2020-09-19,326210,26.87
Mexico,373,2021-07-17,1012236,13.32
Canada,203,2021-01-28,118907,17.84
Saudi Arabia,290,2021-04-25,391735,25.56
Pakistan,104,2020-10-21,270794,15.76
Qatar,147,2020-12-03,113181,0.48
Belgium,81,2020-09-28,62456,85.71
Bangladesh,200,2021-01-25,272694,2.69
