Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,132,2020-11-18,629297.0,9.16
US,331,2021-06-05,173186.0,9.69
Brazil,167,2020-12-23,100692.0,19.33
Russia,174,2020-12-30,16475.0,3.38
Spain,34,2020-08-12,28422.0,16.67
United Kingdom,84,2020-10-01,45750.0,10.42
Italy,83,2020-09-30,35018.0,23.81
India,65,2020-09-12,26595.0,37.38
France,93,2020-10-10,30468.0,11.54
Germany,72,2020-09-19,9235.0,96.77
Peru,180,2021-01-05,18584.0,4.82
Turkey,301,2021-05-06,7108.0,7.8
Iran,39,2020-08-17,13604.0,29.75
Chile,59,2020-09-06,8475.0,75.9
Mexico,208,2021-02-02,69737.0,43.0
Canada,62,2020-09-09,8786.0,98.61
Saudi Arabia,130,2020-11-16,3851.0,29.52
Pakistan,83,2020-09-30,6211.0,2.25
Qatar,32,2020-08-10,181.0,72.73
Belgium,55,2020-09-02,9778.0,94.44
Bangladesh,110,2020-10-27,3646.0,27.41
