Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,129.0,2020-10-22,487342.0,
US,101.0,2020-09-24,124939.0,
Brazil,189.0,2020-12-21,85983.0,
Russia,121.0,2020-10-14,10967.0,
Spain,12.0,2020-06-27,27136.0,
United Kingdom,86.0,2020-09-09,42538.0,
Italy,82.0,2020-09-05,34800.0,
India,69.0,2020-08-23,19178.0,
France,62.0,2020-08-16,29525.0,
Germany,59.0,2020-08-13,9038.0,
Peru,94.0,2020-09-17,10067.0,
Turkey,83.0,2020-09-06,5123.0,
Iran,62.0,2020-08-16,9781.0,
Chile,,,,
Mexico,216.0,2021-01-17,58664.0,
Canada,97.0,2020-09-20,8785.0,
Saudi Arabia,136.0,2020-10-29,3140.0,
Pakistan,78.0,2020-09-01,5190.0,
Qatar,20.0,2020-07-05,89.0,
Belgium,57.0,2020-08-11,9678.0,
Bangladesh,37.0,2020-07-22,1589.0,
