Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,141.0,2020-11-07,10933641.0,12.3
US,377.0,2021-07-01,4416484.0,24.13
Brazil,179.0,2020-12-15,1720684.0,20.74
Russia,238.0,2021-02-12,794341.0,7.78
Spain,85.0,2020-09-12,295748.0,29.92
United Kingdom,188.0,2020-12-24,331996.0,5.43
Italy,98.0,2020-09-25,239967.0,36.62
India,203.0,2021-01-08,1035925.0,4.41
France,74.0,2020-09-01,197384.0,47.13
Germany,69.0,2020-08-27,194786.0,21.83
Peru,139.0,2020-11-05,314362.0,0.53
Turkey,81.0,2020-09-08,195510.0,35.08
Iran,135.0,2020-11-01,240225.0,14.25
Chile,,,,
Mexico,170.0,2020-12-06,311145.0,1.49
Canada,170.0,2020-12-06,112012.0,16.47
Saudi Arabia,97.0,2020-09-24,222062.0,29.02
Pakistan,226.0,2021-01-31,639645.0,68.53
Qatar,95.0,2020-09-22,99139.0,22.72
Belgium,119.0,2020-10-16,62286.0,12.36
Bangladesh,285.0,2021-03-31,387768.0,17.53
