Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,158,2020-11-17,9518314,23.87
US,152,2020-11-11,2344571,37.47
Brazil,181,2020-12-10,1871709,33.3
Russia,376,2021-06-23,1045279,2.19
Spain,92,2020-09-12,292390,40.19
United Kingdom,191,2020-12-20,343041,32.46
Italy,99,2020-09-19,238102,42.35
India,139,2020-10-29,469617,42.92
France,131,2020-10-21,200679,12.48
Germany,76,2020-08-27,188062,78.28
Peru,105,2020-09-25,270520,19.38
Turkey,155,2020-11-14,192310,44.59
Iran,138,2020-10-28,215298,31.01
Chile,88,2020-09-08,242323,47.79
Mexico,337,2021-05-15,508322,7.48
Canada,170,2020-11-29,110514,22.38
Saudi Arabia,93,2020-09-13,167793,24.38
Pakistan,289,2021-03-28,851671,15.01
Qatar,136,2020-10-26,108473,8.48
Belgium,115,2020-10-05,62173,11.25
Bangladesh,188,2020-12-17,238834,14.47
