Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,124.0,2020-10-14,479831.0,27.82
US,93.0,2020-09-13,125447.0,6.94
Brazil,178.0,2020-12-07,82372.0,29.82
Russia,100.0,2020-09-20,10487.0,15.62
Spain,9.0,2020-06-21,27136.0,0.0
United Kingdom,82.0,2020-09-02,43098.0,13.05
Italy,81.0,2020-09-01,34721.0,10.63
India,63.0,2020-08-14,15883.0,34.22
France,60.0,2020-08-11,29612.0,29.07
Germany,64.0,2020-08-15,8899.0,28.57
Peru,96.0,2020-09-16,9078.0,18.27
Turkey,82.0,2020-09-02,5102.0,25.78
Iran,64.0,2020-08-15,9419.0,43.6
Chile,,,,
Mexico,264.0,2021-03-03,69586.0,18.32
Canada,66.0,2020-08-17,9025.0,45.17
Saudi Arabia,164.0,2020-11-23,3657.0,3.77
Pakistan,119.0,2020-10-09,7850.0,7.69
Qatar,23.0,2020-07-05,94.0,29.17
Belgium,29.0,2020-07-11,9699.0,30.0
Bangladesh,36.0,2020-07-18,1439.0,23.81
