Countries,estimated end of transition phase(day),estimated end date of transition phase,estimated epidemic size (cases),7 day newly diagnosed cases error rate(%)
World,203,2021-01-20,13974328,20.82
US,111,2020-10-20,3200235,35.67
Brazil,373,2021-07-09,4627275,12.52
Russia,358,2021-06-24,942163,6.41
Spain,101,2020-10-10,300238,47.1
United Kingdom,63,2020-09-02,288553,45.93
Italy,99,2020-10-08,241256,76.02
India,382,2021-07-18,4483026,3.09
France,72,2020-09-11,207336,14.66
Germany,74,2020-09-13,198108,50.34
Peru,161,2020-12-09,390878,26.21
Turkey,86,2020-09-25,211961,22.33
Iran,376,2021-07-12,551830,1.48
Chile,47,2020-08-17,291425,57.78
Mexico,208,2021-01-25,394915,21.41
Canada,168,2020-12-16,111674,11.31
Saudi Arabia,197,2021-01-14,303764,4.0
Pakistan,96,2020-10-05,246160,32.25
Qatar,139,2020-11-17,111808,0.77
Belgium,80,2020-09-19,61952,57.07
Bangladesh,237,2021-02-23,310932,17.42
